simdata/svcsim_10k_10k_d3_a1_i10_1d.json,12,2.2594405594405593,7.5,1.5869683051323675
simdata/svcsim_10k_10k_d3_a2_i10_1d.json,11,2.7215784215784216,5.9375,1.4207712392002436
simdata/svcsim_10k_10k_d3_a3_i10_1d.json,16,3.5416583416583416,5.283790826388889,1.4179642474665788
simdata/svcsim_10k_10k_d3_a4_i10_1d.json,14,3.6601398601398603,4.770833333333333,1.2966652981106668
simdata/svcsim_10k_10k_d3_a5_i10_1d.json,15,3.7926073926073927,4.651666666666666,1.208290562815615
simdata/svcsim_10k_10k_d3_a6_i10_1d.json,18,5.503396603396603,4.655498236331569,1.298023054433167
simdata/svcsim_10k_10k_d3_a7_i10_1d.json,18,5.421678321678321,4.172030562342821,1.2578930368214418
simdata/svcsim_10k_10k_d3_a8_i10_1d.json,19,5.766133866133866,4.359641804954305,1.2831048670012664
simdata/svcsim_10k_10k_d3_a9_i10_1d.json,17,5.01948051948052,4.254761904761905,1.1579655674904958
simdata/svcsim_10k_10k_d3_a10_i10_1d.json,21,7.102597402597403,4.373043939283256,1.339288102265426
